Lab Name,Sectors,Location,Institution
Desaulniers Research Group (gene expression),"Chemical industries, Life sciences, pharmaceuticals and medical equipment","2000 Simcoe Street North, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology)
"Development, Context, and Communication Lab","Education, Healthcare and social services, Policy and governance","55 Bond Street East, Oshawa, ON, L1G 1B2, Canada",Ontario Tech University (University of Ontario Institute of Technology)
Developmental Systems Neuroscience (DevSneuro) Lab,"Life sciences, pharmaceuticals and medical equipment","1265 Military Trail, Science Wing, Room SW332, Toronto, ON, M1C 1A4, Canada",University of Toronto
Device Development Lab,"Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","2075 Bayview Avenue M7-122, Toronto, ON, M4N 3M5, Canada",Sunnybrook Health Sciences Centre
Diesel Emissions Laboratory - CanmetMINING,"Automotive, Clean technology, Energy, Environmental technologies and related services, Mining, minerals and metals","1 Haanel Drive - Building 9, Ottawa, ON, K1A 1M1, Canada",Natural Resources Canada
Digital Culture and Media Lab (Decimal Lab),"Arts and cultural industries, Education, Information and communication technologies and media, Policy and governance","55 Bond Street, Oshawa, ON, L1G 1B2, Canada",Ontario Tech University (University of Ontario Institute of Technology)
Digital High-Speed Optical Imaging Facility,"Aerospace and satellites, Automotive, Construction (including building, civil engineering, specialty trades), Defence and security industries, Mining, minerals and metals","GB313; 35 Saint George St., Toronto, ON, M5S 1A4, Canada",University of Toronto
Digital Tools in Music Education,Education,"511 Union St., Kingston, ON, K7M 5R7, Canada",Queen's University
Digital Transformation Lab (DTL),"Information and communication technologies and media, Professional and technical services (including legal services, architecture, engineering)","1457 London Rd., Sarnia, ON, N7S 6K2, Canada",Lambton College
Distributed and Collaborative Virtual Environments Research (DISCOVER) Laboratory,Information and communication technologies and media,"800 King Edward Avenue, Ottawa, ON, K1N 6N5, Canada",University of Ottawa
Donnelly Centre for Cellular + Biomolecular Research,"Life sciences, pharmaceuticals and medical equipment","The Donnelly Centre, 160 College Street, Toronto, ON, M5S 3E1, Canada",University of Toronto
Dr. Pawliszyn’s Research Group (Analytical Chemistry),"Agriculture, animal science and food, Clean technology, Environmental technologies and related services, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","200 University Avenue West, Waterloo, ON, N2L 3G1, Canada",University of Waterloo
Drinking Water Research Group,"Clean technology, Environmental technologies and related services","35 St. George Street, Toronto, ON, M5S 1A4, Canada",University of Toronto
Drug Development Program (DDP) Histology and Biomarker Laboratory,"Life sciences, pharmaceuticals and medical equipment","610 University Avenue, Toronto, ON, M5G 2M9, Canada",University Health Network
Duncan Memory Lab,"Education, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","Sidney Smith Hall, Toronto, ON, M5S 3G3, Canada",University of Toronto
Ecohydrology Research Group,"Agriculture, animal science and food, Education, Environmental technologies and related services, Information and communication technologies and media, Management and business related services, Policy and governance, Professional and technical services (including legal services, architecture, engineering)","200 University Ave. W., Waterloo, ON, N2L 3G1, Canada",University of Waterloo
Ecosystem Risk Management – CanmetMINING,"Environmental technologies and related services, Mining, minerals and metals","555 Booth Street, Ottawa, ON, K1A 0G1, Canada",Natural Resources Canada
Educational Informatics Laboratory (EILab),"Arts and cultural industries, Consumer durables, Consumer non-durables, Education, Environmental technologies and related services, Healthcare and social services, Information and communication technologies and media, Management and business related services, Manufacturing and processing, Professional and technical services (including legal services, architecture, engineering)","11 Simcoe St. N., Oshawa, ON, L1H 7L7, Canada",Ontario Tech University (University of Ontario Institute of Technology)
EEG and Neuroimaging Laboratory,"Education, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","2000 Simcoe Street North, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology)
Element and Heavy Isotope Analytical Laboratories - GLIER,"Energy, Environmental technologies and related services, Fisheries and aquaculture, Manufacturing and processing, Mining, minerals and metals","2990 Riverside Drive West, Windsor, ON, N9B 3P4, Canada",University of Windsor
Embedded and FPGA-Based System Design Research Lab,"Aerospace and satellites, Automotive, Defence and security industries, Education, Information and communication technologies and media, Manufacturing and processing, Professional and technical services (including legal services, architecture, engineering)","Department of Electrical and Computer Engineering, Windsor, ON, N9B 3P4, Canada",University of Windsor
ENCORE Lab,"Education, Information and communication technologies and media","252 Bloor St. West, Toronto, ON, M5S 1V6, Canada",University of Toronto
Engineering Laboratory,"Aerospace and satellites, Transportation","1901 Research Private, Ottawa, ON, K1V 2B1, Canada",Transportation Safety Board of Canada
Environmental Ergonomics Laboratory (EEL),"Consumer durables, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","500 Glenridge Ave., St. Catharines, ON, L2S 3A1, Canada",Brock University
Environmental Genomics Facility (EGF) - GLIER,"Environmental technologies and related services, Fisheries and aquaculture, Ocean industries","2990 Riverside Drive West, Windsor, ON, N9C 1A2, Canada",University of Windsor
ePOWER (Queen’s Centre for Energy and Power Electronics Research),"Aerospace and satellites, Automotive, Clean technology, Energy, Information and communication technologies and media","19 Union Street, Kingston, ON, K7L 3N6, Canada",Queen's University
Exercise Oncology Lab (EOL),"Education, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","55 Harbord Street, Toronto, ON, M5S 2W6, Canada",University of Toronto
FARE Laboratory for Experimental and Applied Economics,"Agriculture, animal science and food, Clean technology, Consumer durables, Consumer non-durables, Energy, Environmental technologies and related services, Fisheries and aquaculture, Policy and governance, Tourism and hospitality","50 Stone Road East, Guelph, ON, N1G 2W1, Canada",University of Guelph
Felt Lab,"Arts and cultural industries, Education, Information and communication technologies and media, Management and business related services, Tourism and hospitality","1440 King St. N., St. Jacobs, ON, N0B 2N0, Canada",University of Waterloo
Femtosecond electron diffraction,"Chemical industries, Education, Energy, Life sciences, pharmaceuticals and medical equipment","Lash Miller Building, Room 24580 St. George Street, Toronto, ON, M5S 3H6, Canada",University of Toronto
Finance Laboratory,"Financial services and insurance, Information and communication technologies and media, Management and business related services","2000 Simcoe Street North, North Oshawa, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology)
Fire Safety Testing Facility,"Automotive, Chemical industries, Construction (including building, civil engineering, specialty trades), Consumer durables, Consumer non-durables, Defence and security industries, Energy, Forestry and forest-based industries, Manufacturing and processing, Transportation","1200 Montreal Road, Ottawa, ON, K1A 0R6, Canada",National Research Council Canada
Fish Ecology and Conservation Physiology Laboratory,Fisheries and aquaculture,"4440 CTTC Building, 1125 Colonel By Dr., Ottawa, ON, K1S 5B6, Canada",Carleton University
Flow Cytometry and Virometry Core Facility,"Agriculture, animal science and food, Defence and security industries, Environmental technologies and related services, Fisheries and aquaculture, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","451 Smyth Road, Ottawa, ON, K1H 8M5, Canada",University of Ottawa
Flow Cytometry Core Facility - Centre for Biologics Evaluation,"Life sciences, pharmaceuticals and medical equipment","Frederick G Banting Building, Ottawa, ON, K1A 0K9, Canada",Health Canada
Fluid-Structure Interaction and Noise Control Laboratory (FSIANCL),"Aerospace and satellites, Automotive, Clean technology, Defence and security industries, Energy, Fisheries and aquaculture, Manufacturing and processing, Mining, minerals and metals, Ocean industries, Transportation","2000 Simcoe Street North, Oshawa, ON, L1H 7K4, Canada",Ontario Tech University (University of Ontario Institute of Technology)
Focused Ultrasound (FUS) Lab,"Life sciences, pharmaceuticals and medical equipment","2075 Bayview Avenue, Toronto, ON, M4N 3M5, Canada",Sunnybrook Health Sciences Centre
Food and Beverage Innovation Centre (FBIC),"Agriculture, animal science and food, Manufacturing and processing, Professional and technical services (including legal services, architecture, engineering), Tourism and hospitality","135 Taylor Rd, S. S. #4, Niagara-on-the-Lake, ON, L0S 1J0, Canada",Niagara College
Food Innovation and Research Studio (FIRSt),"Agriculture, animal science and food, Consumer non-durables","215 King St. E, 4th Floor, Toronto, ON, M5A1J9, Canada",George Brown College
Functional and Adaptive Surfaces Group,"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","Wallberg Building, Toronto, ON, M5S3E4, Canada",University of Toronto
Gait Lab,"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","50 Charlton Ave E, Hamilton, ON, L8N 4A6, Canada",St. Joseph's Healthcare Hamilton
Gallagher Drama Research Lab,"Arts and cultural industries, Education, Policy and governance","252 Bloor Street West, Toronto, ON, M5S 1V6, Canada",University of Toronto
Gas Turbine Research Facilities,"Aerospace and satellites, Clean technology, Defence and security industries, Energy, Environmental technologies and related services, Forestry and forest-based industries, Transportation, Utilities","1200 Montreal Road, Ottawa, ON, K1A 0R6, Canada",National Research Council Canada
Gastrointestinal Diseases Research Unit (GIDRU),"Education, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","76 Stuart Street, Kingston, ON, K7L 2V7, Canada",Queen's University
Gene-Environment Interplay Research Laboratory,"Education, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Policy and governance","Earth Sciences Building, 25 Willcocks St, Toronto, ON, M5S 3B2, Canada",University of Toronto
Geochemistry Laboratory,"Agriculture, animal science and food, Chemical industries, Clean technology, Construction (including building, civil engineering, specialty trades), Education, Energy, Environmental technologies and related services, Fisheries and aquaculture, Forestry and forest-based industries, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Mining, minerals and metals, Ocean industries","Advanced Research Complex (ARC), Room 435,25 Templeton Street, Ottawa, ON, K1N 6N5, Canada",University of Ottawa
GeoEngineering Laboratory,"Construction (including building, civil engineering, specialty trades)","950 Johnson Street, Kingston, ON, K7L 3N6, Canada",Queen's University
GeoEngineering Research Group (GRG),"Construction (including building, civil engineering, specialty trades), Environmental technologies and related services, Professional and technical services (including legal services, architecture, engineering), Transportation, Utilities","1125 Colonel By Drive, Ottawa, ON, K1S 5B6, Canada",Carleton University
Gilbert Experimental Spatial Ecology Laboratory,"Agriculture, animal science and food, Fisheries and aquaculture","Earth Sciences, 33 Willcocks Street, Toronto, ON, M5S 3B5, Canada",University of Toronto
Gilbert Lab,"Life sciences, pharmaceuticals and medical equipment","Donnelly Centre for Cellular and Biomolecular Research,160 College Street, Toronto, ON, M5S 3E1, Canada",University of Toronto
Glass Washing and Sterilization Services,"Agriculture, animal science and food, Chemical industries, Fisheries and aquaculture, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","101 College Street, Toronto, ON, M5G 1L7, Canada",University Health Network
Glow Discharge Mass Spectrometry (GD-MS) facility,"Aerospace and satellites, Chemical industries, Clean technology, Defence and security industries, Energy, Environmental technologies and related services, Healthcare and social services, Manufacturing and processing, Mining, minerals and metals, Transportation","1200 Montreal Road, Ottawa, ON, K1A 0R6, Canada",National Research Council Canada
Green Homes,"Clean technology, Construction (including building, civil engineering, specialty trades), Consumer durables, Consumer non-durables, Energy, Environmental technologies and related services, Manufacturing and processing","160 Kendal Avenue, Toronto, ON, M5A 0B6, Canada",George Brown College
Ground Control Laboratory – CanmetMINING,"Construction (including building, civil engineering, specialty trades), Mining, minerals and metals, Professional and technical services (including legal services, architecture, engineering)","1 Haanel Drive, Ottawa, ON, K1A 1M1, Canada",Natural Resources Canada
Guelph Selection Lab,Management and business related services,"50 Stone Road E., Guelph, ON, N1G 2W1, Canada",University of Guelph
Guided Therapeutics Program (GTx),"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","200 Elizabeth St., Toronto, ON, M5G 2C4, Canada",University Health Network
Health and Human Performance Laboratory,"Life sciences, pharmaceuticals and medical equipment","31 Founders Drive, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology)
Heavy Vehicle Structural Dynamics Laboratory,"Automotive, Construction (including building, civil engineering, specialty trades), Defence and security industries, Transportation","2320 Lester Road, Ottawa, ON, K1V 1S2, Canada",National Research Council Canada
Heavy Vehicle Tilt Research Facilities,"Automotive, Defence and security industries, Transportation","2320 Lester Road, Ottawa, ON, K1V 1S2, Canada",National Research Council Canada
High Pressure Processing Facility,"Agriculture, animal science and food, Life sciences, pharmaceuticals and medical equipment","Sir Frederick G. Banting Building, Ottawa, ON, K1A 0K9, Canada",Health Canada
High Temperature Materials Research Facility,"Aerospace and satellites, Automotive, Defence and security industries, Energy, Manufacturing and processing, Mining, minerals and metals, Transportation","1200 Montreal Road, Ottawa, ON, K1A 0R6, Canada",National Research Council Canada
High-Pressure Hydrogenation Laboratory,"Chemical industries, Clean technology, Energy, Manufacturing and processing, Mining, minerals and metals","Summerlee Science Complex, Gordon Street, Guelph, ON, N1G 2W1, Canada",University of Guelph
High-Throughput Experimentation Core Facility,"Chemical industries, Clean technology, Education, Energy, Forestry and forest-based industries","30 Marie-Curie, Ottawa, ON, K1N 6N5, Canada",University of Ottawa
Hildebrand Pain Lab (spinal mechanisms of pain processing),"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","1125 Colonel By Drive, Ottawa, ON, K1S 5B6, Canada",Carleton University
Host-Microbiome Research Network,"Life sciences, pharmaceuticals and medical equipment","MSB 1 King’s College Circle, Toronto, ON, M5S 1A8, Canada",University of Toronto
Human and Environmental Physiology Research Unit (HEPRU),"Clean technology, Construction (including building, civil engineering, specialty trades), Defence and security industries, Environmental technologies and related services, Forestry and forest-based industries, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Mining, minerals and metals, Ocean industries, Policy and governance, Tourism and hospitality, Transportation, Utilities","125 University Private, Ottawa, ON, K1N 6N5, Canada",University of Ottawa
Human Factors and Applied Statistics Laboratory (HFAST),"Automotive, Information and communication technologies and media, Transportation","Rosebrugh Building, Rm 313,164 College Street, Toronto, ON, M5S 3G8, Canada",University of Toronto
Human Machine Lab,Information and communication technologies and media,"40 Conlin Road, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology)
Human Mobility Research Centre,"Education, Healthcare and social services, Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","76 Stuart Street, Kingston, ON, K7L 2V7, Canada",Queen's University
Human Mobility Research Lab (HMRL),"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","166 Brock St., Kingston, ON, K7L5G2, Canada",Queen's University
Human Neurophysiology and Rehabilitation Laboratory,"Life sciences, pharmaceuticals and medical equipment","31 Founders Drive, Oshawa, ON, L1G 7W1, Canada",Ontario Tech University (University of Ontario Institute of Technology)
Human Pluripotent Stem Cell Facility (HPSCF),"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","501 Smyth Road, Ottawa, ON, K1H 8L6, Canada",The Ottawa Hospital
Human-Centered Computing (HCC) Lab,"Education, Information and communication technologies and media, Professional and technical services (including legal services, architecture, engineering)","2000 Simcoe Street North, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology)
Imaging Research Centre (IRC),"Education, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","50 Charlton Avenue East, Hamilton, ON, L8N 4A6, Canada",St. Joseph's Healthcare Hamilton
Inclusive Design Institute,"Arts and cultural industries, Consumer durables, Consumer non-durables, Education, Financial services and insurance, Healthcare and social services, Information and communication technologies and media, Management and business related services, Manufacturing and processing, Policy and governance, Professional and technical services (including legal services, architecture, engineering), Tourism and hospitality, Transportation","205 Richmond Street West, 2nd Floor, Toronto, ON, M5V 1V3, Canada",Ontario College of Art and Design University (OCAD University)
Infrastructure for the Purification and Chemical Biological Antibacterial and Antifungal Compounds,"Life sciences, pharmaceuticals and medical equipment","MaRS 661 University Avenue, Toronto, ON, M5G 1M1, Canada",University of Toronto
InnovaCité BIOlab,"Agriculture, animal science and food, Chemical industries, Clean technology, Consumer durables, Life sciences, pharmaceuticals and medical equipment","801, Aviation Parkway, Ottawa, ON, K1K 4R3, Canada",Collège La Cité
InnovaCité GÉNIElab,"Healthcare and social services, Information and communication technologies and media, Manufacturing and processing, Professional and technical services (including legal services, architecture, engineering), Transportation","801 Aviation Parkway, Ottawa, ON, K1K 4R3, Canada",Collège La Cité
Innovation Policy Lab Database,"Information and communication technologies and media, Management and business related services, Policy and governance","Munk School of Global Affairs and Public Policy, Toronto, ON, M5S 3K7, Canada",University of Toronto
"Innovation, Digital spaces, Equity, and Access Studies in STEAM (Ideass) Lab","Education, Information and communication technologies and media, Management and business related services, Professional and technical services (including legal services, architecture, engineering)","61 Charles St., Oshawa, ON, L1H 4X8, Canada",Ontario Tech University (University of Ontario Institute of Technology)
INSPIRE Core Facility,"Arts and cultural industries, Defence and security industries, Education, Healthcare and social services, Information and communication technologies and media, Management and business related services, Policy and governance","136 Jean-Jacques Lussier, Ottawa, ON, K1N 6N5, Canada",University of Ottawa
Institute for Disability and Rehabilitation Research (IDRR),"Financial services and insurance, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Policy and governance","2000 Simcoe Street North, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology)
Instrumented Wheelsets for Rail Cars,Transportation,"2320 Lester Road, Ottawa, ON, K1V 1S2, Canada",National Research Council Canada
Integrated Nanotechnology and Biomedical Sciences Laboratory (INBS),"Agriculture, animal science and food, Chemical industries, Defence and security industries, Education, Energy, Environmental technologies and related services, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","CCBR, 160 College Street, Toronto, ON, M5S 3E1, Canada",University of Toronto
Integrated Quantum Optoelectronics Lab (IQOL),"Defence and security industries, Education, Information and communication technologies and media","200 University Avenue West, Waterloo, ON, N2L 3G1, Canada",University of Waterloo
Integrative Metabolism and Body Composition Lab,"Education, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","200 University Avenue West, BMH 0603, Waterloo, ON, N2L 3G1, Canada",University of Waterloo
Intelligent Fuels and Energy Laboratory (I-FuELs),Energy,"401 Sunset Avenue, Windsor, ON, N9B 3P4, Canada",University of Windsor
Intelligent Manufacturing Systems (IMS) Centre,"Automotive, Education, Manufacturing and processing","Ed Lumley Centre for Engineering Innovation (CEI), Windsor, ON, N9B 3P4, Canada",University of Windsor
Interfacial Technologies Characterization Laboratory,"Chemical industries, Healthcare and social services","1280 Main St West, Hamilton, ON, L8S 4L7, Canada",McMaster University
Internet of Things Research Laboratory,"Aerospace and satellites, Agriculture, animal science and food, Automotive, Construction (including building, civil engineering, specialty trades), Education, Environmental technologies and related services, Information and communication technologies and media, Policy and governance, Transportation, Utilities","SIRC Building, 40 Conlin Rd., Oshawa, ON, L1H 7K4, Canada",Ontario Tech University (University of Ontario Institute of Technology)
Interprofessional Health Technology Development and Assessment,"Education, Healthcare and social services, Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment","51 Dockside Drive, Toronto, ON, M5R 1M3, Canada",George Brown College
Iovate/MuscleTech Metabolism and Sports Science Lab,"Agriculture, animal science and food, Fisheries and aquaculture, Life sciences, pharmaceuticals and medical equipment","100 Devonshire Place, Toronto, ON, M5S 2C9, Canada",University of Toronto
Jack and Nora Walker Canadian Centre for Lifespan Development Research,"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","500 Glenridge Ave, St. Catharines, ON, L2S 3A1, Canada",Brock University
Ján Veizer Stable Isotope Laboratory,"Agriculture, animal science and food, Chemical industries, Construction (including building, civil engineering, specialty trades), Consumer non-durables, Defence and security industries, Education, Energy, Environmental technologies and related services, Fisheries and aquaculture, Forestry and forest-based industries, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Mining, minerals and metals, Ocean industries, Professional and technical services (including legal services, architecture, engineering)","25 Templeton Street, Ottawa, ON, K1N 6N5, Canada",University of Ottawa
"Jessop Group, Department of Chemistry","Chemical industries, Clean technology, Energy","90 Bader Lane, Kingston, ON, K7L 3N6, Canada",Queen's University
John L. Holmes Mass Spectrometry Facility,"Aerospace and satellites, Agriculture, animal science and food, Automotive, Chemical industries, Education, Energy, Fisheries and aquaculture, Forestry and forest-based industries, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Mining, minerals and metals, Ocean industries","10 Marie-Curie, Ottawa, ON, K1N 6N5, Canada",University of Ottawa
Joint Research Centre in AI for Health and Wellness (AI4HW),"Healthcare and social services, Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment","2000 Simcoe Street North, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology)
Jurisica Lab - Data Science Discovery Centre for Chronic Diseases,"Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment","60 Leonard Avenue, Toronto, ON, M5T 0S8, Canada",University Health Network
Kaul lab mucosal immunology facility,"Life sciences, pharmaceuticals and medical equipment","1 King's College Circle, Toronto, ON, M5S1A8, Canada",University of Toronto
Lab for Image Guided Medical Procedures,,"1125 Colonel By Dr., Herzberg Building 2326, Ottawa, ON, K1S 5B6, Canada",Carleton University
Laboratory for Aptamer Discovery and Development of Emerging Research (LADDER),"Agriculture, animal science and food, Chemical industries, Defence and security industries, Environmental technologies and related services, Life sciences, pharmaceuticals and medical equipment","311 Steacie Building,1125 Colonel By Drive, Ottawa, ON, K1S5B6, Canada",Carleton University
Laboratory for Atmospheric Organics,"Clean technology, Environmental technologies and related services, Healthcare and social services, Policy and governance, Transportation","Wallberg Building, 200 College St., Toronto, ON, M5S 3E5, Canada",University of Toronto
Laboratory for Chemical Synthesis and Characterization,"Chemical industries, Clean technology, Energy, Environmental technologies and related services, Manufacturing and processing","80 St George St, Toronto, ON, M5S 3H6, Canada",University of Toronto
Laboratory for Drug Delivery and Biomaterials,"Aerospace and satellites, Agriculture, animal science and food, Automotive, Chemical industries, Clean technology, Construction (including building, civil engineering, specialty trades), Consumer durables, Consumer non-durables, Defence and security industries, Energy, Environmental technologies and related services, Fisheries and aquaculture, Forestry and forest-based industries, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Mining, minerals and metals, Ocean industries, Utilities","10 Victoria Street South, Kitchener, ON, N2G 1C5, Canada",University of Waterloo
Laboratory for Experimental Infrared Astronomy,"Aerospace and satellites, Education, Manufacturing and processing","50 St. George Street, Toronto, ON, M5S 3H4, Canada",University of Toronto
Laboratory for Functional Tissue Engineering,"Education, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Professional and technical services (including legal services, architecture, engineering)","164 College Street, Rosebrugh Building, Room 407, Toronto, ON, M5S 3G9, Canada",University of Toronto
Laboratory for Games and Media Entertainment Research (GaMER Lab),"Arts and cultural industries, Information and communication technologies and media","2000 Simcoe Street North, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology)
Laboratory for optofluidics and small scale transport phenomena,"Clean technology, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","19 Division Street, Kingston, ON, K7L 3N6, Canada",Queen's University
Laboratory for Percutaneous Surgery (Perk Lab),"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","25 Union St., Kingston, ON, K7L 2N8, Canada",Queen's University
Laboratory for Physiology and Genetics of Aquatic Organisms,"Agriculture, animal science and food, Environmental technologies and related services, Fisheries and aquaculture, Life sciences, pharmaceuticals and medical equipment","D’Iorio Building, 130 Louis Pasteur Pvt, Ottawa, ON, K1N 6N5, Canada",University of Ottawa
Laboratory for Strategic Materials,"Chemical industries, Clean technology, Energy, Mining, minerals and metals","200 College Street, Toronto, ON, M5S 3E5, Canada",University of Toronto
Laboratory for the Analysis of Natural and Synthetic Environmental Toxins (LANSET),"Chemical industries, Clean technology, Defence and security industries, Environmental technologies and related services, Fisheries and aquaculture, Forestry and forest-based industries, Life sciences, pharmaceuticals and medical equipment, Mining, minerals and metals, Ocean industries, Policy and governance","20 Marie-Curie Private, Ottawa, ON, K1N 6N5, Canada",University of Ottawa
Laboratory for Ultrafast Thermomagnetics (LUTher),Information and communication technologies and media,"11 Arboretum Lane, Toronto, ON, M3J 2S5, Canada",York University
Laboratory to Study Signal Transduction and Gene Regulation in Cancer,"Education, Life sciences, pharmaceuticals and medical equipment","Medical Sciences Building,1 King’s College Circle, Room 4306, Toronto, ON, M5S 1A8, Canada",University of Toronto
Lakehead University Center for Analytical Services (LUCAS),"Agriculture, animal science and food, Chemical industries, Clean technology, Education, Energy, Environmental technologies and related services, Fisheries and aquaculture, Forestry and forest-based industries, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Mining, minerals and metals","955 Oliver Road, Thunder Bay, ON, P7B 5E1, Canada",Lakehead University
Lakehead University Material Characterization Services (LUMCS) and Lakehead University Instrumentation Laboratory,"Chemical industries, Clean technology, Energy, Environmental technologies and related services, Manufacturing and processing, Mining, minerals and metals","955 Oliver Road, Thunder Bay, ON, P7B5E1, Canada",Lakehead University
Lambton Manufacturing Innovation Centre (LMIC),"Aerospace and satellites, Agriculture, animal science and food, Automotive, Chemical industries, Clean technology, Consumer durables, Education, Energy, Environmental technologies and related services, Healthcare and social services, Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment, Management and business related services, Manufacturing and processing, Mining, minerals and metals, Professional and technical services (including legal services, architecture, engineering), Transportation, Utilities","NOVA Chemicals Health & Research Centre, Building E, Sarnia, ON, N7S 6K4, Canada",Lambton College
Lambton Water Centre (LWC),"Chemical industries, Clean technology, Environmental technologies and related services, Mining, minerals and metals, Utilities","1457 London Rd., Sarnia, ON, N7S 6K4, Canada",Lambton College
Lawson Imaging,"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","268 Grosvenor Street, London, ON, N6A 4V2, Canada",St. Joseph's Health Care London
LeBlanc Entomology Lab,"Agriculture, animal science and food, Chemical industries, Environmental technologies and related services, Professional and technical services (including legal services, architecture, engineering)","2000 Simcoe Street North, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology)
Life Sciences Research Building,,"1125 Colonel By Drive, Ottawa, ON, K1S 5B6, Canada",Carleton University
Lin Brain Lab,"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","2075 Bayview Avenue, Toronto, ON, M4N 3M5, Canada",Sunnybrook Health Sciences Centre
Liquid Chromatography - Mass Spectrometry (LC-MS) Facility,"Agriculture, animal science and food, Education, Life sciences, pharmaceuticals and medical equipment","200 University Ave West, Kitchener, ON, N2G 1C5, Canada",University of Waterloo
Listeriosis Reference Service (LRS),"Agriculture, animal science and food, Life sciences, pharmaceuticals and medical equipment","251 Sir Frederick Banting Driveway, Tunney’s Pasture, Ottawa, ON, K1A 0K9, Canada",Health Canada
LIVELab at the McMaster Institute for Music and the Mind (MIMM),"Arts and cultural industries, Education, Healthcare and social services, Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Professional and technical services (including legal services, architecture, engineering)","1280 Main Street West, Hamilton, ON, L8S 4K1, Canada",McMaster University
Long Wavelength Laboratory,"Aerospace and satellites, Defence and security industries, Information and communication technologies and media","Astronomy Building, Toronto, ON, M5S 3H4, Canada",University of Toronto
Longo’s Food Retail Laboratory,"Agriculture, animal science and food, Consumer non-durables, Fisheries and aquaculture, Healthcare and social services, Management and business related services","50 Stone Rd E., Guelph, ON, N1G 2W1, Canada",University of Guelph
Louise Pelletier Histology Core Facility,"Education, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","451 Smyth Road, Ottawa, ON, K1H 8M5, Canada",University of Ottawa
MacDonald Lab (thermodynamics and fluid mechanics),"Aerospace and satellites, Clean technology, Energy, Mining, minerals and metals, Utilities","2000 Simcoe Street North, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology)
Macromolecular Crystallography Facility,"Life sciences, pharmaceuticals and medical equipment","200 University Avenue West, Waterloo, ON, N2L 3G1, Canada",University of Waterloo
Magmatic and Ore-Forming Processes Research Laboratory,"Aerospace and satellites, Chemical industries, Construction (including building, civil engineering, specialty trades), Defence and security industries, Energy, Environmental technologies and related services, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Mining, minerals and metals","22 Russell St., Earth Sciences Centre, Toronto, ON, M5S 3B1, Canada",University of Toronto
